,ID,Date,Block,Primary Type,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Community Areas,Wards
22,11729891,06/20/2019 10:51:00 PM,0000X W 103RD ST,NARCOTICS,STREET,TRUE,FALSE,511,5,9,49,,,2019,06/27/2019 4:09:07 PM,,,,
27,11729872,06/20/2019 10:40:00 PM,055XX W WRIGHTWOOD AVE,NARCOTICS,STREET,TRUE,FALSE,2515,25,30,19,,,2019,06/27/2019 4:09:07 PM,,,,
28,11729912,06/20/2019 10:39:00 PM,057XX W CHICAGO AVE,BATTERY,SIDEWALK,TRUE,FALSE,1511,15,29,25,,,2019,06/27/2019 4:09:07 PM,,,,
30,11731186,06/20/2019 10:30:00 PM,076XX N EASTLAKE TER,BURGLARY,APARTMENT,FALSE,FALSE,2422,24,49,1,,,2019,06/27/2019 4:09:07 PM,,,,
33,11729943,06/20/2019 10:22:00 PM,068XX W DIVERSEY AVE,BATTERY,APARTMENT,TRUE,FALSE,2511,25,36,18,,,2019,06/27/2019 4:09:07 PM,,,,
34,11729901,06/20/2019 10:10:00 PM,012XX N PARKSIDE AVE,THEFT,RESIDENCE,FALSE,TRUE,2531,25,29,25,,,2019,06/27/2019 4:09:07 PM,,,,
38,11730798,06/20/2019 10:05:00 PM,057XX S CICERO AVE,DECEPTIVE PRACTICE,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,FALSE,FALSE,813,8,23,56,,,2019,06/27/2019 4:09:07 PM,,,,
40,11730369,06/20/2019 10:00:00 PM,036XX S HAMILTON AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,912,9,12,59,,,2019,06/27/2019 4:09:07 PM,,,,
42,11730135,06/20/2019 10:00:00 PM,027XX W FARWELL AVE,THEFT,STREET,FALSE,FALSE,2411,24,50,2,,,2019,06/27/2019 4:09:07 PM,,,,
46,11729915,06/20/2019 9:46:00 PM,066XX S EVANS AVE,DECEPTIVE PRACTICE,APARTMENT,TRUE,FALSE,321,3,20,42,,,2019,06/27/2019 4:09:07 PM,,,,
49,11729822,06/20/2019 9:45:00 PM,026XX W 64TH ST,BATTERY,ALLEY,FALSE,TRUE,825,8,17,66,,,2019,06/27/2019 4:09:07 PM,,,,
51,11729859,06/20/2019 9:40:00 PM,013XX S TROY ST,NARCOTICS,STREET,TRUE,FALSE,1022,10,24,29,,,2019,06/27/2019 4:09:07 PM,,,,
55,11729846,06/20/2019 9:30:00 PM,067XX S ARTESIAN AVE,BATTERY,ALLEY,FALSE,TRUE,832,8,17,66,,,2019,06/27/2019 4:09:07 PM,,,,
56,11729973,06/20/2019 9:30:00 PM,059XX S WOOD ST,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,714,7,15,67,,,2019,06/27/2019 4:09:07 PM,,,,
59,11729856,06/20/2019 9:30:00 PM,0000X N HALSTED ST,THEFT,GROCERY FOOD STORE,FALSE,FALSE,1224,12,42,28,,,2019,06/27/2019 4:09:07 PM,,,,
60,11729902,06/20/2019 9:30:00 PM,051XX W FULLERTON AVE,THEFT,RESTAURANT,FALSE,FALSE,2522,25,36,19,,,2019,06/27/2019 4:09:07 PM,,,,
63,11730021,06/20/2019 9:30:00 PM,069XX S PARNELL AVE,THEFT,RESIDENCE,FALSE,FALSE,732,7,6,68,,,2019,06/27/2019 4:09:07 PM,,,,
64,11729809,06/20/2019 9:20:00 PM,057XX W SUPERIOR ST,NARCOTICS,SIDEWALK,TRUE,FALSE,1511,15,29,25,,,2019,06/27/2019 4:09:07 PM,,,,
65,11729767,06/20/2019 9:16:00 PM,010XX N CLARK ST,THEFT,RESTAURANT,FALSE,FALSE,1824,18,2,8,,,2019,06/27/2019 4:09:07 PM,,,,
66,11729862,06/20/2019 9:15:00 PM,058XX S WOOD ST,BATTERY,PARK PROPERTY,FALSE,FALSE,715,7,15,67,,,2019,06/27/2019 4:09:07 PM,,,,
67,11731262,06/20/2019 9:15:00 PM,014XX W 109TH PL,BATTERY,RESIDENCE,FALSE,TRUE,2234,22,34,75,,,2019,06/27/2019 4:09:07 PM,,,,
69,11729861,06/20/2019 9:10:00 PM,002XX E 43RD ST,NARCOTICS,STREET,TRUE,FALSE,215,2,3,38,,,2019,06/27/2019 4:09:07 PM,,,,
70,11729812,06/20/2019 9:05:00 PM,075XX S CHAMPLAIN AVE,BATTERY,APARTMENT,FALSE,TRUE,624,6,6,69,,,2019,06/27/2019 4:09:07 PM,,,,
72,11729843,06/20/2019 9:01:00 PM,072XX S ARTESIAN AVE,NARCOTICS,STREET,TRUE,FALSE,832,8,18,66,,,2019,06/27/2019 4:09:07 PM,,,,
73,11729811,06/20/2019 9:01:00 PM,078XX S ABERDEEN ST,BATTERY,STREET,TRUE,TRUE,612,6,17,71,,,2019,06/27/2019 4:09:07 PM,,,,
74,11729772,06/20/2019 9:00:00 PM,048XX W CHICAGO AVE,THEFT,SIDEWALK,FALSE,FALSE,1531,15,37,25,,,2019,06/27/2019 4:09:07 PM,,,,
75,11730287,06/20/2019 9:00:00 PM,079XX S COLFAX AVE,BATTERY,STREET,FALSE,TRUE,422,4,7,46,,,2019,06/27/2019 4:09:07 PM,,,,
76,11730777,06/20/2019 9:00:00 PM,041XX W CORNELIA AVE,CRIMINAL TRESPASS,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1731,17,30,16,,,2019,06/27/2019 4:09:07 PM,,,,
77,11729917,06/20/2019 9:00:00 PM,002XX N MAPLEWOOD AVE,THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1222,12,27,28,,,2019,06/27/2019 4:09:07 PM,,,,
78,11730084,06/20/2019 9:00:00 PM,124XX S EMERALD AVE,BURGLARY,RESIDENCE-GARAGE,FALSE,FALSE,523,5,34,53,,,2019,06/27/2019 4:09:07 PM,,,,
79,11732945,06/20/2019 9:00:00 PM,017XX W ALBION AVE,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,2432,24,49,1,,,2019,06/27/2019 4:09:07 PM,,,,
80,11730419,06/20/2019 9:00:00 PM,062XX N WINTHROP AVE,THEFT,STREET,FALSE,FALSE,2433,24,48,77,,,2019,06/27/2019 4:09:07 PM,,,,
81,11729793,06/20/2019 9:00:00 PM,018XX N MILWAUKEE AVE,THEFT,STREET,FALSE,FALSE,1434,14,32,22,,,2019,06/27/2019 4:09:07 PM,,,,
86,11729948,06/20/2019 9:00:00 PM,029XX W CHICAGO AVE,THEFT,STREET,FALSE,FALSE,1211,12,27,24,,,2019,06/27/2019 4:09:07 PM,,,,
87,11730718,06/20/2019 9:00:00 PM,125XX S EGGLESTON AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,523,5,9,53,,,2019,06/27/2019 4:09:07 PM,,,,
88,11730149,06/20/2019 9:00:00 PM,077XX S MARQUETTE AVE,THEFT,STREET,FALSE,FALSE,421,4,7,43,,,2019,06/27/2019 4:09:07 PM,,,,
89,11730599,06/20/2019 9:00:00 PM,020XX N MOHAWK ST,THEFT,STREET,FALSE,FALSE,1812,18,43,7,,,2019,06/27/2019 4:09:07 PM,,,,
93,11729824,06/20/2019 8:40:00 PM,053XX N WESTERN AVE,BATTERY,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,2011,20,40,4,,,2019,06/27/2019 4:09:07 PM,,,,
94,11729879,06/20/2019 8:40:00 PM,103XX S AVENUE N,NARCOTICS,STREET,TRUE,FALSE,432,4,10,52,,,2019,06/27/2019 4:09:07 PM,,,,
95,11730929,06/20/2019 8:35:00 PM,135XX S BUFFALO AVE,BATTERY,APARTMENT,FALSE,FALSE,433,4,10,55,,,2019,06/27/2019 4:09:07 PM,,,,
96,11729820,06/20/2019 8:32:00 PM,016XX N PULASKI RD,THEFT,DRUG STORE,TRUE,FALSE,2535,25,26,23,,,2019,06/27/2019 4:09:07 PM,,,,
97,11730058,06/20/2019 8:30:00 PM,058XX W CORNELIA AVE,THEFT,STREET,FALSE,FALSE,1633,16,36,15,,,2019,06/27/2019 4:09:07 PM,,,,
98,11729831,06/20/2019 8:30:00 PM,003XX E 61ST ST,NARCOTICS,STREET,TRUE,FALSE,311,3,20,40,,,2019,06/27/2019 4:09:07 PM,,,,
100,11729921,06/20/2019 8:27:00 PM,041XX S FAIRFIELD AVE,BATTERY,STREET,TRUE,FALSE,921,9,12,58,,,2019,06/27/2019 4:09:07 PM,,,,
101,11729802,06/20/2019 8:24:00 PM,0000X W LAKE ST,THEFT,STREET,FALSE,FALSE,111,1,42,32,,,2019,06/27/2019 4:09:07 PM,,,,
102,11729742,06/20/2019 8:21:00 PM,040XX W GRAND AVE,CRIMINAL TRESPASS,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,2534,25,26,23,,,2019,06/27/2019 4:09:07 PM,,,,
103,11729757,06/20/2019 8:18:00 PM,002XX W 108TH PL,BATTERY,RESIDENCE,TRUE,TRUE,513,5,34,49,,,2019,06/27/2019 4:09:07 PM,,,,
104,11729888,06/20/2019 8:17:00 PM,002XX S FRANKLIN ST,BATTERY,STREET,FALSE,FALSE,122,1,42,32,,,2019,06/27/2019 4:09:07 PM,,,,
105,11729745,06/20/2019 8:15:00 PM,086XX S EXCHANGE AVE,BATTERY,RESIDENCE,FALSE,TRUE,423,4,10,46,,,2019,06/27/2019 4:09:07 PM,,,,
106,11729777,06/20/2019 8:15:00 PM,013XX W 51ST ST,NARCOTICS,SIDEWALK,TRUE,FALSE,933,9,20,61,,,2019,06/27/2019 4:09:07 PM,,,,
109,11729828,06/20/2019 8:05:00 PM,113XX S ABERDEEN ST,WEAPONS VIOLATION,SIDEWALK,TRUE,FALSE,2234,22,34,75,,,2019,06/27/2019 4:09:07 PM,,,,
111,11729814,06/20/2019 8:04:00 PM,008XX N STATE ST,THEFT,SIDEWALK,TRUE,FALSE,1833,18,2,8,,,2019,06/27/2019 4:09:07 PM,,,,
112,11729782,06/20/2019 8:03:00 PM,008XX N DRAKE AVE,NARCOTICS,SIDEWALK,TRUE,FALSE,1121,11,27,23,,,2019,06/27/2019 4:09:07 PM,,,,
113,11729813,06/20/2019 8:01:00 PM,009XX E 82ND ST,BATTERY,APARTMENT,FALSE,FALSE,631,6,8,44,,,2019,06/27/2019 4:09:07 PM,,,,
114,11729751,06/20/2019 8:01:00 PM,005XX W MADISON ST,BATTERY,TAXICAB,FALSE,FALSE,121,1,42,28,,,2019,06/27/2019 4:09:07 PM,,,,
115,11729848,06/20/2019 8:00:00 PM,023XX W MADISON ST,THEFT,GROCERY FOOD STORE,TRUE,FALSE,1223,12,27,28,,,2019,06/27/2019 4:09:07 PM,,,,
117,11730769,06/20/2019 8:00:00 PM,005XX E 90TH ST,THEFT,STREET,FALSE,FALSE,633,6,9,44,,,2019,06/27/2019 4:09:07 PM,,,,
119,11729898,06/20/2019 8:00:00 PM,040XX W VAN BUREN ST,NARCOTICS,VACANT LOT/LAND,TRUE,FALSE,1132,11,28,26,,,2019,06/27/2019 4:09:07 PM,,,,
121,11731333,06/20/2019 8:00:00 PM,007XX W OHIO ST,THEFT,STREET,FALSE,FALSE,1214,12,27,24,,,2019,06/27/2019 4:09:07 PM,,,,
124,11729720,06/20/2019 7:50:00 PM,001XX W 79TH ST,THEFT,DEPARTMENT STORE,FALSE,FALSE,623,6,17,69,,,2019,06/27/2019 4:09:07 PM,,,,
125,11729849,06/20/2019 7:48:00 PM,026XX E 84TH ST,BATTERY,STREET,FALSE,FALSE,423,4,7,46,,,2019,06/27/2019 4:09:07 PM,,,,
126,11729717,06/20/2019 7:45:00 PM,055XX S WOLCOTT AVE,NARCOTICS,ALLEY,TRUE,FALSE,715,7,15,67,,,2019,06/27/2019 4:09:07 PM,,,,
127,11729794,06/20/2019 7:45:00 PM,023XX W JACKSON BLVD,BATTERY,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1225,12,27,28,,,2019,06/27/2019 4:09:07 PM,,,,
129,11729754,06/20/2019 7:43:00 PM,032XX S THROOP ST,BATTERY,APARTMENT,TRUE,TRUE,913,9,11,60,,,2019,06/27/2019 4:09:07 PM,,,,
132,11729909,06/20/2019 7:40:00 PM,022XX W WALNUT ST,THEFT,STREET,FALSE,FALSE,1223,12,27,28,,,2019,06/27/2019 4:09:07 PM,,,,
134,11729780,06/20/2019 7:39:00 PM,061XX S EBERHART AVE,CRIMINAL TRESPASS,RESIDENTIAL YARD (FRONT/BACK),TRUE,FALSE,313,3,20,42,,,2019,06/27/2019 4:09:07 PM,,,,
136,11729712,06/20/2019 7:33:00 PM,029XX W FULTON ST,NARCOTICS,ALLEY,TRUE,FALSE,1222,12,27,27,,,2019,06/27/2019 4:09:07 PM,,,,
138,11729779,06/20/2019 7:31:00 PM,045XX S WESTERN BLVD,THEFT,OTHER,FALSE,FALSE,924,9,12,61,,,2019,06/27/2019 4:09:07 PM,,,,
139,11732952,06/20/2019 7:30:00 PM,017XX W POTOMAC AVE,DECEPTIVE PRACTICE,GAS STATION,FALSE,FALSE,1424,14,1,24,,,2019,06/27/2019 4:09:07 PM,,,,
140,11730094,06/20/2019 7:30:00 PM,076XX N PAULINA ST,BATTERY,STREET,FALSE,FALSE,2422,24,49,1,,,2019,06/27/2019 4:09:07 PM,,,,
142,11729638,06/20/2019 7:30:00 PM,0000X S MOZART ST,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1124,11,27,27,,,2019,06/27/2019 4:09:07 PM,,,,
144,11729914,06/20/2019 7:30:00 PM,013XX N LARAMIE AVE,BATTERY,PARK PROPERTY,FALSE,FALSE,2533,25,37,25,,,2019,06/27/2019 4:09:07 PM,,,,
146,11730023,06/20/2019 7:30:00 PM,076XX S ASHLAND AVE,THEFT,SMALL RETAIL STORE,FALSE,FALSE,612,6,17,71,,,2019,06/27/2019 4:09:07 PM,,,,
147,11730142,06/20/2019 7:30:00 PM,052XX S HARPER AVE,THEFT,RESTAURANT,FALSE,FALSE,234,2,4,41,,,2019,06/27/2019 4:09:07 PM,,,,
148,11729826,06/20/2019 7:25:00 PM,014XX W WEBSTER AVE,THEFT,STREET,FALSE,FALSE,1811,18,2,7,,,2019,06/27/2019 4:09:07 PM,,,,
150,11729750,06/20/2019 7:21:00 PM,021XX N ASHLAND AVE,THEFT,GROCERY FOOD STORE,FALSE,FALSE,1432,14,32,22,,,2019,06/27/2019 4:09:07 PM,,,,
151,11729653,06/20/2019 7:20:00 PM,117XX S CHURCH ST,THEFT,RESIDENCE,FALSE,TRUE,2212,22,34,75,,,2019,06/27/2019 4:09:07 PM,,,,
152,11729833,06/20/2019 7:20:00 PM,020XX W CHICAGO AVE,THEFT,STREET,FALSE,FALSE,1212,12,2,24,,,2019,06/27/2019 4:09:07 PM,,,,
154,11729836,06/20/2019 7:18:00 PM,038XX N PARKVIEW TER,NARCOTICS,STREET,TRUE,FALSE,1732,17,45,16,,,2019,06/27/2019 4:09:07 PM,,,,
155,11729738,06/20/2019 7:17:00 PM,008XX N MICHIGAN AVE,THEFT,DEPARTMENT STORE,FALSE,FALSE,1833,18,2,8,,,2019,06/27/2019 4:09:07 PM,,,,
157,11729781,06/20/2019 7:12:00 PM,008XX W AINSLIE ST,BATTERY,RESIDENCE,FALSE,FALSE,2024,20,48,3,,,2019,06/27/2019 4:09:07 PM,,,,
158,11730743,06/20/2019 7:10:00 PM,035XX E 118TH ST,THEFT,SMALL RETAIL STORE,FALSE,FALSE,433,4,10,55,,,2019,06/27/2019 4:09:07 PM,,,,
159,11729658,06/20/2019 7:10:00 PM,025XX N CLARK ST,THEFT,RESTAURANT,FALSE,FALSE,1935,19,43,7,,,2019,06/27/2019 4:09:07 PM,,,,
160,11729795,06/20/2019 7:10:00 PM,113XX S CARPENTER ST,BATTERY,SIDEWALK,FALSE,TRUE,2234,22,34,75,,,2019,06/27/2019 4:09:07 PM,,,,
161,11730289,06/20/2019 7:09:00 PM,035XX E 118TH ST,THEFT,SMALL RETAIL STORE,FALSE,FALSE,433,4,10,55,,,2019,06/27/2019 4:09:07 PM,,,,
162,11729834,06/20/2019 7:08:00 PM,086XX S JEFFERY BLVD,WEAPONS VIOLATION,STREET,TRUE,FALSE,412,4,8,45,,,2019,06/27/2019 4:09:07 PM,,,,
163,11729664,06/20/2019 7:07:00 PM,011XX N HARDING AVE,NARCOTICS,SIDEWALK,TRUE,FALSE,1112,11,37,23,,,2019,06/27/2019 4:09:07 PM,,,,
164,11734180,06/20/2019 7:03:00 PM,054XX N KEDZIE AVE,THEFT,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1712,17,39,13,,,2019,06/27/2019 4:09:07 PM,,,,
165,11730351,06/20/2019 7:00:00 PM,106XX S WOODLAWN AVE,BURGLARY,CONSTRUCTION SITE,FALSE,FALSE,512,5,9,50,,,2019,06/27/2019 4:09:07 PM,,,,
166,11729791,06/20/2019 7:00:00 PM,048XX S INDIANA AVE,THEFT,APARTMENT,FALSE,FALSE,224,2,3,38,,,2019,06/27/2019 4:09:07 PM,,,,
170,11729667,06/20/2019 7:00:00 PM,001XX N DEARBORN ST,THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,111,1,42,32,,,2019,06/27/2019 4:09:07 PM,,,,
172,11729840,06/20/2019 7:00:00 PM,051XX S INDIANA AVE,THEFT,GAS STATION,FALSE,FALSE,231,2,3,40,,,2019,06/27/2019 4:09:07 PM,,,,
174,11729637,06/20/2019 7:00:00 PM,010XX W BERWYN AVE,THEFT,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2023,20,48,77,,,2019,06/27/2019 4:09:07 PM,,,,
176,11729725,06/20/2019 7:00:00 PM,008XX W WEBSTER AVE,THEFT,RESTAURANT,FALSE,FALSE,1812,18,43,7,,,2019,06/27/2019 4:09:07 PM,,,,
177,11732624,06/20/2019 7:00:00 PM,015XX W CORTLAND ST,THEFT,STREET,FALSE,FALSE,1433,14,32,22,,,2019,06/27/2019 4:09:07 PM,,,,
181,11729673,06/20/2019 6:55:00 PM,002XX E RANDOLPH ST,BATTERY,PARK PROPERTY,FALSE,FALSE,114,1,42,32,,,2019,06/27/2019 4:09:07 PM,,,,
184,11729605,06/20/2019 6:50:00 PM,029XX N BROADWAY,THEFT,SMALL RETAIL STORE,FALSE,FALSE,1934,19,44,6,,,2019,06/27/2019 4:09:07 PM,,,,
186,11729601,06/20/2019 6:48:00 PM,016XX S BLUE ISLAND AVE,NARCOTICS,SIDEWALK,TRUE,FALSE,1233,12,25,31,,,2019,06/27/2019 4:09:07 PM,,,,
188,11729733,06/20/2019 6:45:00 PM,001XX S KILBOURN AVE,BATTERY,SIDEWALK,FALSE,FALSE,1113,11,28,26,,,2019,06/27/2019 4:09:07 PM,,,,
189,11729660,06/20/2019 6:41:00 PM,041XX W JACKSON BLVD,BATTERY,STREET,FALSE,FALSE,1115,11,28,26,,,2019,06/27/2019 4:09:07 PM,,,,
192,11729763,06/20/2019 6:35:00 PM,100XX S HALSTED ST,NARCOTICS,HOTEL/MOTEL,TRUE,FALSE,2232,22,34,73,,,2019,06/27/2019 4:09:07 PM,,,,
194,11730103,06/20/2019 6:30:00 PM,027XX W 60TH ST,THEFT,STREET,FALSE,FALSE,824,8,16,66,,,2019,06/27/2019 4:09:07 PM,,,,
196,11729830,06/20/2019 6:30:00 PM,115XX S MARSHFIELD AVE,THEFT,ATHLETIC CLUB,FALSE,FALSE,2234,22,34,75,,,2019,06/27/2019 4:09:07 PM,,,,
197,11730499,06/20/2019 6:30:00 PM,084XX S HOLLAND RD,THEFT,DEPARTMENT STORE,FALSE,FALSE,622,6,21,44,,,2019,06/27/2019 4:09:07 PM,,,,
198,11729721,06/20/2019 6:30:00 PM,071XX S WESTERN AVE,BATTERY,BANK,FALSE,FALSE,832,8,18,66,,,2019,06/27/2019 4:09:07 PM,,,,
199,11729762,06/20/2019 6:27:00 PM,082XX S LOOMIS BLVD,BURGLARY,RESIDENCE,TRUE,FALSE,614,6,21,71,,,2019,06/27/2019 4:09:07 PM,,,,
200,11729801,06/20/2019 6:24:00 PM,043XX W GRAND AVE,WEAPONS VIOLATION,STREET,TRUE,FALSE,2534,25,26,23,,,2019,06/27/2019 4:09:07 PM,,,,
201,11729626,06/20/2019 6:16:00 PM,057XX W BELMONT AVE,THEFT,SMALL RETAIL STORE,FALSE,FALSE,2514,25,30,19,,,2019,06/27/2019 4:09:07 PM,,,,
202,11729773,06/20/2019 6:15:00 PM,0000X W HURON ST,DECEPTIVE PRACTICE,OTHER,FALSE,FALSE,1832,18,42,8,,,2019,06/27/2019 4:09:07 PM,,,,
204,11730472,06/20/2019 6:10:00 PM,117XX S MARSHFIELD AVE,THEFT,GROCERY FOOD STORE,FALSE,FALSE,2234,22,34,75,,,2019,06/27/2019 4:09:07 PM,,,,
205,11729573,06/20/2019 6:10:00 PM,060XX N LINCOLN AVE,BATTERY,APARTMENT,FALSE,TRUE,1711,17,50,13,,,2019,06/27/2019 4:09:07 PM,,,,
206,11729775,06/20/2019 6:09:00 PM,038XX W ROOSEVELT RD,BATTERY,SIDEWALK,FALSE,FALSE,1011,10,24,29,,,2019,06/27/2019 4:09:07 PM,,,,
210,11729806,06/20/2019 6:02:00 PM,060XX W FULLERTON AVE,BATTERY,STREET,FALSE,FALSE,2512,25,30,19,,,2019,06/27/2019 4:09:07 PM,,,,
211,11730075,06/20/2019 6:00:00 PM,025XX W ARDMORE AVE,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2011,20,40,2,,,2019,06/27/2019 4:09:07 PM,,,,
213,11730239,06/20/2019 6:00:00 PM,025XX N PULASKI RD,THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2524,25,31,22,,,2019,06/27/2019 4:09:07 PM,,,,
214,11729722,06/20/2019 6:00:00 PM,056XX S COTTAGE GROVE AVE,THEFT,STREET,FALSE,FALSE,235,2,5,41,,,2019,06/27/2019 4:09:07 PM,,,,
216,11729708,06/20/2019 6:00:00 PM,012XX W NELSON ST,THEFT,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1933,19,32,6,,,2019,06/27/2019 4:09:07 PM,,,,
219,11731488,06/20/2019 6:00:00 PM,029XX S DR MARTIN LUTHER KING JR DR,THEFT,STREET,FALSE,FALSE,133,1,4,35,,,2019,06/27/2019 4:09:07 PM,,,,
220,11732355,06/20/2019 6:00:00 PM,023XX E 70TH PL,BATTERY,APARTMENT,FALSE,TRUE,331,3,5,43,,,2019,06/27/2019 4:09:07 PM,,,,
221,11730780,06/20/2019 6:00:00 PM,013XX W ADDISON ST,THEFT,RESTAURANT,FALSE,FALSE,1924,19,44,6,,,2019,06/27/2019 4:09:07 PM,,,,
223,11729646,06/20/2019 5:57:00 PM,070XX S STONY ISLAND AVE,CRIMINAL TRESPASS,GAS STATION,TRUE,FALSE,332,3,5,43,,,2019,06/27/2019 4:09:07 PM,,,,
225,11735575,06/20/2019 5:49:00 PM,016XX S LAWNDALE AVE,THEFT,RESIDENCE,FALSE,TRUE,1014,10,24,29,,,2019,06/27/2019 4:09:07 PM,,,,
226,11729726,06/20/2019 5:46:00 PM,045XX S DREXEL BLVD,CRIMINAL TRESPASS,APARTMENT,FALSE,FALSE,221,2,4,39,,,2019,06/27/2019 4:09:07 PM,,,,
229,11729603,06/20/2019 5:45:00 PM,002XX N STATE ST,THEFT,CTA TRAIN,FALSE,FALSE,111,1,42,32,,,2019,06/27/2019 4:09:07 PM,,,,
230,11729582,06/20/2019 5:45:00 PM,018XX S ASHLAND AVE,THEFT,SIDEWALK,FALSE,FALSE,1233,12,25,31,,,2019,06/27/2019 4:09:07 PM,,,,
232,11729509,06/20/2019 5:40:00 PM,034XX N SOUTHPORT AVE,THEFT,RESTAURANT,FALSE,FALSE,1924,19,44,6,,,2019,06/27/2019 4:09:07 PM,,,,
234,11729630,06/20/2019 5:40:00 PM,046XX N SHERIDAN RD,BATTERY,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,1914,19,46,3,,,2019,06/27/2019 4:09:07 PM,,,,
235,11729753,06/20/2019 5:40:00 PM,012XX W FULLERTON AVE,BATTERY,STREET,FALSE,FALSE,1811,18,43,7,,,2019,06/27/2019 4:09:07 PM,,,,
237,11729560,06/20/2019 5:35:00 PM,034XX W IRVING PARK RD,THEFT,GROCERY FOOD STORE,FALSE,FALSE,1732,17,35,16,,,2019,06/27/2019 4:09:07 PM,,,,
238,11729788,06/20/2019 5:34:00 PM,066XX S STONY ISLAND AVE,BATTERY,SIDEWALK,FALSE,TRUE,321,3,5,42,,,2019,06/27/2019 4:09:07 PM,,,,
241,11729615,06/20/2019 5:30:00 PM,055XX N MILWAUKEE AVE,THEFT,SMALL RETAIL STORE,FALSE,FALSE,1622,16,45,11,,,2019,06/27/2019 4:09:07 PM,,,,
243,11729575,06/20/2019 5:30:00 PM,004XX E 46TH ST,DECEPTIVE PRACTICE,APARTMENT,FALSE,FALSE,221,2,3,38,,,2019,06/27/2019 4:09:07 PM,,,,
244,11736066,06/20/2019 5:30:00 PM,019XX W NELSON ST,THEFT,STREET,FALSE,FALSE,1931,19,32,5,,,2019,06/27/2019 4:09:07 PM,,,,
246,11729737,06/20/2019 5:30:00 PM,076XX S ESSEX AVE,BATTERY,APARTMENT,FALSE,FALSE,421,4,7,43,,,2019,06/27/2019 4:09:07 PM,,,,
